, ,제 51 기 반기,Unnamed: 2,제 50 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),56127104,108512650,58482658,119046372
2,매출원가,35944684,68691136,31274597,63184069
3,매출총이익,20182420,39821514,27208061,55862303
4,판매비와관리비,13585355,26991167,12339026,25351098
5,영업이익(손실),6597065,12830347,14869035,30511205
6,기타수익,360159,681941,367588,738564
7,기타비용,312883,570014,222409,467672
8,지분법이익,64492,142173,106307,170671
9,금융수익,3151583,5068119,3119060,5402260
10,금융비용,2681052,4060224,2832745,4772285
11,법인세비용차감전순이익(손실),7179364,14092342,15406836,31582743
12,법인세비용,1998788,3868181,4363424,8850787
13,계속영업이익(손실),5180576,10224161,11043412,22731956
14,당기순이익(손실),5180576,10224161,11043412,22731956
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),5064530,10172020,10981547,22593380
17,    비지배지분에 귀속되는 당기순이익(손실),116046,52141,61865,138576
18,주당이익, , , , 
19,    기본주당이익(손실) (단위 : 원),746,1497,1617,3325
20,    희석주당이익(손실) (단위 : 원),746,1497,1617,3325
