, ,제 50 기 1분기말,제 49 기말
0,자산, , 
1,    유동자산,154941953,146982464
2,        현금및현금성자산,32303752,30545130
3,        단기금융상품,46027700,49447696
4,        단기매도가능금융자산, ,3191375
5,        단기상각후원가금융자산,3733160, 
6,        매출채권,35370654,27695995
7,        미수금,3221846,4108961
8,        선급금,1687013,1753673
9,        선급비용,4327031,3835219
10,        재고자산,26470871,24983355
11,        기타유동자산,1799926,1421060
12,    비유동자산,157531160,154769626
13,        장기매도가능금융자산, ,7752180
14,        만기보유금융자산, ,106751
15,        상각후원가금융자산,260660, 
16,        기타포괄손익-공정가치금융자산,6997753, 
17,        당기손익-공정가치금융자산,624086, 
18,        관계기업 및 공동기업 투자,6810645,6802351
19,        유형자산,114412258,111665648
20,        무형자산,14805407,14760483
21,        장기선급비용,3880465,3434375
22,        순확정급여자산,628122,825892
23,        이연법인세자산,5012377,5061687
24,        기타비유동자산,4099387,4360259
25,    자산총계,312473113,301752090
26,부채, , 
27,    유동부채,68298586,67175114
28,        매입채무,9301132,9083907
29,        단기차입금,9973335,15767619
30,        미지급금,15036480,13899633
31,        선수금,1135681,1249174
32,        예수금,821190,793582
33,        미지급비용,15288788,13996273
34,        미지급법인세,10542578,7408348
35,        유동성장기부채,15631,278619
36,        충당부채,5254798,4294820
37,        기타유동부채,928973,403139
38,    비유동부채,20914647,20085548
39,        사채,961780,953361
40,        장기차입금,1910470,1814446
41,        장기미지급금,1935019,2043729
42,        순확정급여부채,425561,389922
43,        이연법인세부채,12349990,11710781
44,        장기충당부채,513347,464324
45,        기타비유동부채,2818480,2708985
46,    부채총계,89213233,87260662
47,자본, , 
48,    지배기업 소유주지분,215884505,207213416
49,        자본금,897514,897514
50,            우선주자본금,119467,119467
51,            보통주자본금,778047,778047
52,        주식발행초과금,4403893,4403893
53,        이익잉여금(결손금),222485398,215811200
54,        기타자본항목,-11902300,-13899191
55,    비지배지분,7375375,7278012
56,    자본총계,223259880,214491428
57,자본과부채총계,312473113,301752090
