,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 48 기,제 47 기,제 46 기
1,자산, , , 
2,    유동자산,141429704,124814725,115146026
3,        현금및현금성자산,32111442,22636744,16840766
4,        단기금융상품,52432411,44228800,41689776
5,        단기매도가능금융자산,3638460,4627530,3286798
6,        매출채권,24279211,25168026,24694610
7,        미수금,3521197,3352663,3539875
8,        선급금,1439938,1706003,1989470
9,        선급비용,3502083,3170632,3346593
10,        재고자산,18353503,18811794,17317504
11,        기타유동자산,1315653,1035460,1795143
12,        매각예정분류자산,835806,77073,645491
13,    비유동자산,120744620,117364796,115276932
14,        장기매도가능금융자산,6804276,8332480,12667509
15,        관계기업 및 공동기업 투자,5837884,5276348,5232461
16,        유형자산,91473041,86477110,80872950
17,        무형자산,5344020,5396311,4785473
18,        장기선급비용,3834831,4294401,4857126
19,        순확정급여자산,557091, , 
20,        이연법인세자산,5321450,5589108,4526595
21,        기타비유동자산,1572027,1999038,2334818
22,    자산총계,262174324,242179521,230422958
23,부채, , , 
24,    유동부채,54704095,50502909,52013913
25,        매입채무,6485039,6187291,7914704
26,        단기차입금,12746789,11155425,8029299
27,        미지급금,11525910,8864378,10318407
28,        선수금,1358878,1343432,1427230
29,        예수금,685028,992733,1161635
30,        미지급비용,12527300,11628739,12876777
31,        미지급법인세,2837353,3401625,2161109
32,        유동성장기부채,1232817,221548,1778667
33,        충당부채,4597417,6420603,5991510
34,        기타유동부채,351176,287135,326259
35,        매각예정분류부채,356388, ,28316
36,    비유동부채,14507196,12616807,10320857
37,        사채,58542,1230448,1355882
38,        장기차입금,1244238,266542,101671
39,        장기미지급금,3317054,3041687,2562271
40,        순확정급여부채,173656,358820,201342
41,        이연법인세부채,7293514,5154792,4097811
42,        장기충당부채,358126,522378,499290
43,        기타비유동부채,2062066,2042140,1502590
44,    부채총계,69211291,63119716,62334770
45,자본, , , 
46,    지배기업 소유주지분,186424328,172876767,162181725
47,    자본금,897514,897514,897514
48,        우선주자본금,119467,119467,119467
49,        보통주자본금,778047,778047,778047
50,    주식발행초과금,4403893,4403893,4403893
51,    이익잉여금(결손금),193086317,185132014,169529604
52,    기타자본항목,-11934586,-17580451,-12729387
53,    매각예정분류기타자본항목,-28810,23797,80101
54,    비지배지분,6538705,6183038,5906463
55,    자본총계,192963033,179059805,168088188
56,자본과부채총계,262174324,242179521,230422958
