,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 49 기,제 48 기,제 47 기
1,자산, , , 
2,    유동자산,146982464,141429704,124814725
3,        현금및현금성자산,30545130,32111442,22636744
4,        단기금융상품,49447696,52432411,44228800
5,        단기매도가능금융자산,3191375,3638460,4627530
6,        매출채권,27695995,24279211,25168026
7,        미수금,4108961,3521197,3352663
8,        선급금,1753673,1439938,1706003
9,        선급비용,3835219,3502083,3170632
10,        재고자산,24983355,18353503,18811794
11,        기타유동자산,1421060,1315653,1035460
12,        매각예정분류자산, ,835806,77073
13,    비유동자산,154769626,120744620,117364796
14,        장기매도가능금융자산,7752180,6804276,8332480
15,        만기보유금융자산,106751, , 
16,        관계기업 및 공동기업 투자,6802351,5837884,5276348
17,        유형자산,111665648,91473041,86477110
18,        무형자산,14760483,5344020,5396311
19,        장기선급비용,3434375,3834831,4294401
20,        순확정급여자산,825892,557091, 
21,        이연법인세자산,5061687,5321450,5589108
22,        기타비유동자산,4360259,1572027,1999038
23,    자산총계,301752090,262174324,242179521
24,부채, , , 
25,    유동부채,67175114,54704095,50502909
26,        매입채무,9083907,6485039,6187291
27,        단기차입금,15767619,12746789,11155425
28,        미지급금,13899633,11525910,8864378
29,        선수금,1249174,1358878,1343432
30,        예수금,793582,685028,992733
31,        미지급비용,13996273,12527300,11628739
32,        미지급법인세,7408348,2837353,3401625
33,        유동성장기부채,278619,1232817,221548
34,        충당부채,4294820,4597417,6420603
35,        기타유동부채,403139,351176,287135
36,        매각예정분류부채, ,356388, 
37,    비유동부채,20085548,14507196,12616807
38,        사채,953361,58542,1230448
39,        장기차입금,1814446,1244238,266542
40,        장기미지급금,2043729,3317054,3041687
41,        순확정급여부채,389922,173656,358820
42,        이연법인세부채,11710781,7293514,5154792
43,        장기충당부채,464324,358126,522378
44,        기타비유동부채,2708985,2062066,2042140
45,    부채총계,87260662,69211291,63119716
46,자본, , , 
47,    지배기업 소유주지분,207213416,186424328,172876767
48,        자본금,897514,897514,897514
49,            우선주자본금,119467,119467,119467
50,            보통주자본금,778047,778047,778047
51,        주식발행초과금,4403893,4403893,4403893
52,        이익잉여금(결손금),215811200,193086317,185132014
53,        기타자본항목,-13899191,-11934586,-17580451
54,        매각예정분류기타자본항목, ,-28810,23797
55,    비지배지분,7278012,6538705,6183038
56,    자본총계,214491428,192963033,179059805
57,자본과부채총계,301752090,262174324,242179521
