, ,제 51 기 1분기,Unnamed: 2,제 50 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),52385546,52385546,60563714,60563714
2,매출원가,32746452,32746452,31909472,31909472
3,매출총이익,19639094,19639094,28654242,28654242
4,판매비와관리비,13405812,13405812,13012072,13012072
5,영업이익(손실),6233282,6233282,15642170,15642170
6,기타수익,321782,321782,370976,370976
7,기타비용,257131,257131,245263,245263
8,지분법이익,77681,77681,64364,64364
9,금융수익,1916536,1916536,2283200,2283200
10,금융비용,1379172,1379172,1939540,1939540
11,법인세비용차감전순이익(손실),6912978,6912978,16175907,16175907
12,법인세비용,1869393,1869393,4487363,4487363
13,계속영업이익(손실),5043585,5043585,11688544,11688544
14,당기순이익(손실),5043585,5043585,11688544,11688544
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),5107490,5107490,11611833,11611833
17,    비지배지분에 귀속되는 당기순이익(손실),-63905,-63905,76711,76711
18,주당이익, , , , 
19,    기본주당이익(손실) (단위 : 원),752,752,1709,1709
20,    희석주당이익(손실) (단위 : 원),752,752,1709,1709
