, ,제 50 기 3분기,Unnamed: 2,제 49 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),65459993,184506365,62048901,173596964
2,매출원가,35194358,98378427,33004119,93559545
3,매출총이익,30265635,86127938,29044782,80037419
4,판매비와관리비,12690770,38041868,14511623,41539352
5,영업이익(손실),17574865,48086070,14533159,38498067
6,기타수익,176612,915176,375774,1036412
7,기타비용,152354,620026,278122,778761
8,지분법이익,118455,289126,80423,122114
9,금융수익,2501153,7903413,2610849,6435175
10,금융비용,2249387,7021672,2407343,5821426
11,법인세비용차감전순이익(손실),17969344,49552087,14914740,39491581
12,법인세비용,4818629,13669416,3721329,9559965
13,계속영업이익(손실),13150715,35882671,11193411,29931616
14,당기순이익(손실),13150715,35882671,11193411,29931616
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),12967428,35560808,11039771,29328245
17,    비지배지분에 귀속되는 당기순이익(손실),183287,321863,153640,603371
18,주당이익, , , , 
19,    기본주당이익(손실) (단위 : 원),1909,5234,1607,4239
20,    희석주당이익(손실) (단위 : 원),1909,5234,1607,4239
