, ,제 49 기 3분기말,제 48 기말
0,자산, , 
1,    유동자산,145322337,141429704
2,        현금및현금성자산,30788226,32111442
3,        단기금융상품,41280668,52432411
4,        단기매도가능금융자산,3964250,3638460
5,        매출채권,30351245,24279211
6,        미수금,3551281,3521197
7,        선급금,1960054,1439938
8,        선급비용,4155405,3502083
9,        재고자산,27032501,18353503
10,        기타유동자산,1318309,1315653
11,        매각예정분류자산,920398,835806
12,    비유동자산,151256242,120744620
13,        장기매도가능금융자산,8066146,6804276
14,        관계기업 및 공동기업 투자,5914258,5837884
15,        유형자산,109006091,91473041
16,        무형자산,15376169,5344020
17,        장기선급비용,3381655,3834831
18,        순확정급여자산,120688,557091
19,        이연법인세자산,5026790,5321450
20,        기타비유동자산,4364445,1572027
21,    자산총계,296578579,262174324
22,부채, , 
23,    유동부채,66172585,54704095
24,        매입채무,11367405,6485039
25,        단기차입금,15329338,12746789
26,        미지급금,13755728,11525910
27,        선수금,1360407,1358878
28,        예수금,680210,685028
29,        미지급비용,9983738,12527300
30,        미지급법인세,5446061,2837353
31,        유동성장기부채,17659,1232817
32,        충당부채,7386454,4597417
33,        기타유동부채,401522,351176
34,        매각예정분류부채,444063,356388
35,    비유동부채,19714743,14507196
36,        사채,1015061,58542
37,        장기차입금,2199998,1244238
38,        장기미지급금,1999578,3317054
39,        순확정급여부채,594158,173656
40,        이연법인세부채,10353456,7293514
41,        장기충당부채,635329,358126
42,        기타비유동부채,2917163,2062066
43,    부채총계,85887328,69211291
44,자본, , 
45,    지배기업 소유주지분,203504410,186424328
46,        자본금,897514,897514
47,            우선주자본금,119467,119467
48,            보통주자본금,778047,778047
49,        주식발행초과금,4403893,4403893
50,        이익잉여금(결손금),206773005,193086317
51,        기타자본항목,-8525520,-11934586
52,        매각예정분류기타자본항목,-44482,-28810
53,    비지배지분,7186841,6538705
54,    자본총계,210691251,192963033
55,자본과부채총계,296578579,262174324
