,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 49 기,제 48 기,제 47 기
1,수익(매출액),239575376,201866745,200653482
2,매출원가,129290661,120277715,123482118
3,매출총이익,110284715,81589030,77171364
4,판매비와관리비,56639677,52348358,50757922
5,영업이익(손실),53645038,29240672,26413442
6,기타수익,3010657,3238261,1685947
7,기타비용,1419648,2463814,3723434
8,지분법이익,201442,19501,1101932
9,금융수익,9737391,11385645,10514879
10,금융비용,8978913,10706613,10031771
11,법인세비용차감전순이익(손실),56195967,30713652,25960995
12,법인세비용,14009220,7987560,6900851
13,계속영업이익(손실),42186747,22726092,19060144
14,당기순이익(손실),42186747,22726092,19060144
15,당기순이익(손실)의 귀속, , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),41344569,22415655,18694628
17,    비지배지분에 귀속되는 당기순이익(손실),842178,310437,365516
18,주당이익, , , 
19,    기본주당이익(손실) (단위:원) (단위 : 원),299868,157967,126305
20,    희석주당이익(손실) (단위:원) (단위 : 원),299868,157967,126303
