, ,제 50 기 3분기말,제 49 기말
0,자산, , 
1,    유동자산,176282049,146982464
2,        현금및현금성자산,33088093,30545130
3,        단기금융상품,58681418,49447696
4,        단기매도가능금융자산, ,3191375
5,        단기상각후원가금융자산,3446114, 
6,        매출채권,41940008,27695995
7,        미수금,3155484,4108961
8,        선급금,1473652,1753673
9,        선급비용,4201481,3835219
10,        재고자산,28242807,24983355
11,        기타유동자산,2052992,1421060
12,    비유동자산,160913737,154769626
13,        장기매도가능금융자산, ,7752180
14,        만기보유금융자산, ,106751
15,        상각후원가금융자산,242423, 
16,        기타포괄손익-공정가치금융자산,7921160, 
17,        당기손익-공정가치금융자산,700224, 
18,        관계기업 및 공동기업 투자,7005344,6802351
19,        유형자산,115003148,111665648
20,        무형자산,14800096,14760483
21,        장기선급비용,3482233,3434375
22,        순확정급여자산,289962,825892
23,        이연법인세자산,4692581,5061687
24,        기타비유동자산,6776566,4360259
25,    자산총계,337195786,301752090
26,부채, , 
27,    유동부채,74705872,67175114
28,        매입채무,10209231,9083907
29,        단기차입금,18826524,15767619
30,        미지급금,9404608,13899633
31,        선수금,938553,1249174
32,        예수금,825190,793582
33,        미지급비용,16331192,13996273
34,        미지급법인세,8822613,7408348
35,        유동성장기부채,1799346,278619
36,        충당부채,6400043,4294820
37,        기타유동부채,1148572,403139
38,    비유동부채,20386754,20085548
39,        사채,972435,953361
40,        장기차입금,87101,1814446
41,        장기미지급금,1688167,2043729
42,        순확정급여부채,524088,389922
43,        이연법인세부채,13750490,11710781
44,        장기충당부채,1123150,464324
45,        기타비유동부채,2241323,2708985
46,    부채총계,95092626,87260662
47,자본, , 
48,    지배기업 소유주지분,234476380,207213416
49,        자본금,897514,897514
50,            우선주자본금,119467,119467
51,            보통주자본금,778047,778047
52,        주식발행초과금,4403893,4403893
53,        이익잉여금,241628322,215811200
54,        기타자본항목,-12453349,-13899191
55,    비지배지분,7626780,7278012
56,    자본총계,242103160,214491428
57,자본과부채총계,337195786,301752090
