,제 46 기          2014.01.01 부터 2014.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 48 기 3분기,,제 47 기 3분기,,제 47 기,제 46 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),4537855,15638051,5458559,15836671,19060144,23394358
4,기타포괄손익,-4340477,-4383548,1482827,1226800,76071,-1993414
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-1528,-49940,-17833,-69179,288047,-720945
6,        순확정급여부채 재측정요소,-38987,-86032,-17309,-67240,263978,-710318
7,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,37459,36092,-524,-1939,24069,-10627
8,    후속적으로 당기손익으로 재분류되는 포괄손익,-4338949,-4333608,1500660,1295979,-211976,-1272469
9,        매도가능금융자산평가손익,-456032,-426117,-339259,-818154,-414961,-232105
10,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-37909,-172758,-1205,3976,-65330,-118305
11,        해외사업장환산외환차이,-3845008,-3734733,1841124,2110157,268315,-922059
12,총포괄손익,197378,11254503,6941386,17063471,19136215,21400944
13,포괄손익의 귀속, , , , , , 
14,    지배기업 소유주지분,132268,11158654,6735178,16632865,18804189,20990732
15,    비지배지분,65110,95849,206208,430606,332026,410212
