,제 46 기          2014.01.01 부터 2014.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 48 기 반기,,제 47 기 반기,,제 47 기,제 46 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),5847393,11100196,5752297,10378112,19060144,23394358
4,기타포괄손익,118124,-43071,563953,-256027,76071,-1993414
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-25992,-48412,-26798,-51346,288047,-720945
6,        순확정급여부채 재측정요소,-24262,-47045,-25828,-49931,263978,-710318
7,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-1730,-1367,-970,-1415,24069,-10627
8,    후속적으로 당기손익으로 재분류되는 포괄손익,144116,5341,590751,-204681,-211976,-1272469
9,        매도가능금융자산평가손익,-44680,29915,-743746,-478895,-414961,-232105
10,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-22907,-134849,48788,5181,-65330,-118305
11,        해외사업장환산외환차이,211703,110275,1285709,269033,268315,-922059
12,총포괄손익,5965517,11057125,6316250,10122085,19136215,21400944
13,포괄손익의 귀속, , , , , , 
14,    지배기업 소유주지분,5956247,11026386,6212578,9897687,18804189,20990732
15,    비지배지분,9270,30739,103672,224398,332026,410212
