,제 42 기          2010.01.01 부터 2010.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 44 기 1분기,,제 43 기 1분기,,제 43 기,제 42 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),5048461,5048461,2784738,2784738,13734067,16146525
4,기타포괄손익,642753,642753,-243361,-243361,-502271,1141484
5,    매도가능금융자산평가손익,695661,695661,-36537,-36537,-572028,932384
6,    관계회사 및 조인트벤처 투자 평가,-146747,-146747,-19173,-19173,-113898,387457
7,    해외사업환산손익,93839,93839,-187651,-187651,183655,-178357
8,총포괄손익,5691214,5691214,2541377,2541377,13231796,17288009
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,5515524,5515524,2497936,2497936,12801542,16901117
11,    비지배지분,175690,175690,43441,43441,430254,386892
