,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 43 기,제 42 기,제 41 기
1,당기순이익(손실),13734067,16146525,9760550
2,기타포괄손익,-502271,1141484,-661706
3,    매도가능금융자산평가이익,-572028,932384,108217
4,    관계회사 및 조인트벤처 투자 평가,-113898,387457,49879
5,    해외사업환산손익,183655,-178357,-819802
6,총포괄손익,13231796,17288009,9098844
7,포괄손익의 귀속, , , 
8,    지배기업 소유주지분,12801542,16901117,9060689
9,    비지배지분,430254,386892,38155
