, ,제 51 기 3분기,Unnamed: 2,제 50 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),6287664,16511825,13150715,35882671
2,기타포괄손익,1823973,6405617,-1762131,386961
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,172057,905737,327458,175847
4,        기타포괄손익-공정가치금융자산평가손익,188193,978090,329267,231382
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-905,-2662,15595,16919
6,        순확정급여부채 재측정요소,-15231,-69691,-17404,-72454
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1651916,5499880,-2089589,211114
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,36397,101816,-23665,14860
9,        해외사업장환산외환차이,1609488,5386506,-2060896,164035
10,        현금흐름위험회피파생상품평가손익,6031,11558,-5028,32219
11,총포괄손익,8111637,22917442,11388584,36269632
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,7917242,22550166,11209717,35915129
14,    비지배지분,194395,367276,178867,354503
