,제 41 기          2009.01.01 부터 2009.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 43 기 3분기,,제 42 기 3분기,,제 42 기,제 41 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),3441710,9732812,4455426,12726111,16146525,9760550
4,기타포괄손익,677343,273902,157034,768650,1141484,-661706
5,    매도가능금융자산평가이익,-664687,-614820,362199,428665,932384,108217
6,    관계회사 및 조인트벤처 투자 평가,-47439,-26212,99776,414448,387457,49879
7,    해외사업환산손익,1389469,914934,-304941,-74463,-178357,-819802
8,총포괄손익,4119053,10006714,4612460,13494761,17288009,9098844
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,3873245,9679946,4487395,13246820,16901117,9060689
11,    비지배지분,245808,326768,125065,247941,386892,38155
