,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 46 기,제 45 기,제 44 기
1,당기순이익(손실),23394358,30474764,23845285
2,기타포괄손익,-1993414,-1006838,-1717080
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-710318,-213113,-504120
4,        순확정급여부채 재측정요소,-710318,-213113,-504120
5,    후속적으로 당기손익으로 재분류되는 포괄손익,-1283096,-793725,-1212960
6,        매도가능금융자산평가손익,-232105,186480,962184
7,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-128932,20756,-350491
8,        해외사업장환산외환차이,-922059,-1000961,-1824653
9,총포괄손익,21400944,29467926,22128205
10,포괄손익의 귀속, , , 
11,    지배기업 소유주지분,20990732,28837590,21499343
12,    비지배지분,410212,630336,628862
