,제 45 기          2013.01.01 부터 2013.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 47 기 반기,,제 46 기 반기,,제 46 기,제 45 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),5752297,10378112,6250781,13825222,23394358,30474764
4,기타포괄손익,563953,-256027,-2321768,-2279397,-1993414,-1006838
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-25828,-49931,-15581,-20607,-710318,-213113
6,        순확정급여부채 재측정요소,-25828,-49931,-15581,-20607,-710318,-213113
7,    후속적으로 당기손익으로 재분류되는 포괄손익,589781,-206096,-2306187,-2258790,-1283096,-793725
8,        매도가능금융자산평가손익,-743746,-478895,-220086,-269944,-232105,186480
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,47818,3766,-57892,-83917,-128932,20756
10,        해외사업장환산외환차이,1285709,269033,-2028209,-1904929,-922059,-1000961
11,총포괄손익,6316250,10122085,3929013,11545825,21400944,29467926
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,6212578,9897687,3914659,11423127,20990732,28837590
14,    비지배지분,103672,224398,14354,122698,410212,630336
